Number	Accession	A's	T's	G's	C's	N's	Length	GC%
39072	CY072636	820	519	521	443	32	2335	41.28
39073	CY072637	773	498	590	431	33	2325	43.91
39074	CY074763	591	421	378	342	24	1756	41.00
39075	CY074764	288	243	261	208	14	1014	46.25
39076	CY074764	288	243	261	208	14	1014	46.25
39077	CY074765	450	377	336	274	20	1457	41.87
39078	CY074766	514	331	398	294	21	1558	44.42
39079	CY074767	296	207	195	162	12	872	40.94
39080	CY074767	296	207	195	162	12	872	40.94
39081	CY074768	735	528	517	412	31	2223	41.79
39082	CY074769	819	511	531	450	33	2344	41.85
39083	CY074769	819	511	531	450	33	2344	41.85
39084	CY074770	797	533	569	411	32	2342	41.84
39085	CY038559	582	416	378	344	24	1744	41.40
39086	CY038560	278	238	262	207	14	999	46.95
39087	CY038560	278	238	262	207	14	999	46.95
39088	CY038561	447	373	338	274	20	1452	42.15
39089	CY038562	506	328	400	289	21	1544	44.62
39090	CY038563	286	206	194	159	12	857	41.19
39091	CY038563	286	206	194	159	12	857	41.19
39092	CY038564	731	526	519	414	31	2221	42.01
39093	CY038565	821	509	522	450	32	2334	41.65
39094	CY038565	821	509	522	450	32	2334	41.65
39095	CY038566	795	521	564	413	32	2325	42.02
39096	CY072830	617	414	385	318	24	1758	39.99
39097	CY072831	289	235	254	209	14	1001	46.25
39098	CY072831	289	235	254	209	14	1001	46.25
39099	CY072832	453	372	331	264	20	1440	41.32
39100	CY072833	505	317	400	301	21	1544	45.40
39101	CY072834	270	209	202	169	12	862	43.04
39102	CY072834	270	209	202	169	12	862	43.04
39103	CY072835	713	503	533	426	31	2206	43.47
39104	CY072836	819	520	522	442	32	2335	41.28
39105	CY072837	773	500	589	431	32	2325	43.87
39106	CY074731	591	421	378	341	24	1755	40.97
39107	CY074732	288	243	261	207	14	1013	46.20
39108	CY074732	288	243	261	207	14	1013	46.20
39109	CY074733	451	377	336	273	20	1457	41.80
39110	CY074734	514	331	397	295	21	1558	44.42
39111	CY074735	296	207	195	161	12	871	40.87
39112	CY074735	296	207	195	161	12	871	40.87
39113	CY074736	736	527	516	413	31	2223	41.79
39114	CY074737	819	510	531	451	33	2344	41.89
39115	CY074737	819	510	531	451	33	2344	41.89
39116	CY074738	798	533	568	411	32	2342	41.80
39117	CY073641	616	414	385	319	24	1758	40.05
39118	CY073642	287	236	256	208	14	1001	46.35
39119	CY073642	287	236	256	208	14	1001	46.35
39120	CY073643	453	373	331	263	20	1440	41.25
39121	CY073644	501	318	404	300	21	1544	45.60
39122	CY073645	272	208	200	170	12	862	42.92
39123	CY073645	272	208	200	170	12	862	42.92
39124	CY073646	712	502	533	428	31	2206	43.56
39125	CY073647	821	519	520	443	32	2335	41.24
39126	CY073648	771	498	591	433	32	2325	44.04
39127	CY072790	617	414	384	319	24	1758	39.99
39128	CY072791	289	236	254	208	14	1001	46.15
39129	CY072791	289	236	254	208	14	1001	46.15
39130	CY072792	451	372	333	264	20	1440	41.46
39131	CY072793	505	317	400	301	21	1544	45.40
39132	CY072794	270	209	202	169	12	862	43.04
39133	CY072794	270	209	202	169	12	862	43.04
39134	CY072795	712	505	532	426	31	2206	43.43
39135	CY072796	822	522	518	441	32	2335	41.07
39136	CY072797	773	498	589	433	32	2325	43.96
39137	CY045860	601	422	386	318	24	1751	40.21
39138	CY045861	293	238	251	205	14	1001	45.55
39139	CY045861	293	238	251	205	14	1001	45.55
39140	CY045862	464	376	337	253	20	1450	40.69
39141	CY045863	488	321	395	300	21	1525	45.57
39142	CY045864	269	213	208	160	12	862	42.69
39143	CY045864	269	213	208	160	12	862	42.69
39144	CY045865	732	528	514	392	30	2196	41.26
39145	CY045866	800	539	505	434	32	2310	40.65
39146	CY045866	800	539	505	434	32	2310	40.65
39147	CY045867	800	535	558	408	32	2333	41.41
39148	CY032509	580	416	377	341	24	1738	41.31
39149	CY032510	276	239	262	206	14	997	46.94
39150	CY032510	276	239	262	206	14	997	46.94
39151	CY032511	445	371	339	275	20	1450	42.34
39152	CY032512	504	328	401	291	21	1545	44.79
39153	CY032513	288	206	193	159	12	858	41.03
39154	CY032513	288	206	193	159	12	858	41.03
39155	CY032514	730	525	519	415	31	2220	42.07
39156	CY032515	816	510	524	449	32	2331	41.74
39157	CY032515	816	510	524	449	32	2331	41.74
39158	CY032516	792	521	566	413	32	2324	42.13
39159	CY032429	575	410	378	345	24	1732	41.74
39160	CY032430	275	239	262	206	14	996	46.99
39161	CY032430	275	239	262	206	14	996	46.99
39162	CY032431	441	371	339	275	20	1446	42.46
39163	CY032432	501	329	399	291	21	1541	44.78
39164	CY032433	287	206	194	159	12	858	41.14
39165	CY032433	287	206	194	159	12	858	41.14
39166	CY032434	728	524	518	411	31	2212	42.00
39167	CY032435	819	509	523	449	32	2332	41.68
39168	CY032435	819	509	523	449	32	2332	41.68
39169	CY032436	795	524	564	413	32	2328	41.97
39170	CY040226	585	419	386	314	24	1728	40.51
39171	CY040227	293	238	249	205	14	999	45.45
39172	CY040227	293	238	249	205	14	999	45.45
39173	CY040228	460	373	332	254	20	1439	40.72
39174	CY040229	482	321	394	300	21	1518	45.72
39175	CY040230	263	211	208	162	12	856	43.22
39176	CY040230	263	211	208	162	12	856	43.22
39177	CY040231	732	534	516	394	31	2207	41.23
39178	CY040232	799	551	509	436	32	2327	40.61
39179	CY040232	799	551	509	436	32	2327	40.61
39180	CY040233	793	528	552	407	32	2312	41.48
39181	CY072678	617	414	384	319	24	1758	39.99
39182	CY072679	287	236	256	208	14	1001	46.35
39183	CY072679	287	236	256	208	14	1001	46.35
39184	CY072680	453	372	332	263	20	1440	41.32
39185	CY072681	502	318	403	300	21	1544	45.53
39186	CY072682	271	209	201	169	12	862	42.92
39187	CY072682	271	209	201	169	12	862	42.92
39188	CY072683	713	500	532	429	32	2206	43.56
39189	CY072684	818	517	523	445	32	2335	41.46
39190	CY072685	774	496	588	435	32	2325	44.00
39191	CY058556	608	412	382	318	24	1744	40.14
39192	CY058557	286	235	253	208	14	996	46.29
39193	CY058557	286	235	253	208	14	996	46.29
39194	CY058558	451	372	331	264	20	1438	41.38
39195	CY058559	502	315	402	297	21	1537	45.48
39196	CY058560	267	208	201	168	12	856	43.11
39197	CY058560	267	208	201	168	12	856	43.11
39198	CY058561	708	502	534	425	30	2199	43.61
39199	CY058562	818	517	521	443	32	2331	41.36
39200	CY058563	771	494	589	432	32	2318	44.05
39201	CY035102	579	415	379	342	24	1739	41.46
39202	CY035103	278	239	263	206	14	1000	46.90
39203	CY035103	278	239	263	206	14	1000	46.90
39204	CY035104	440	369	337	274	20	1440	42.43
39205	CY035105	501	331	399	289	21	1541	44.65
39206	CY035106	292	207	193	159	12	863	40.79
39207	CY035106	292	207	193	159	12	863	40.79
39208	CY035107	734	526	518	413	31	2222	41.90
39209	CY035108	821	510	522	449	32	2334	41.60
39210	CY035108	821	510	522	449	32	2334	41.60
39211	CY035109	793	525	566	413	32	2329	42.04
39212	CY058108	616	413	385	320	24	1758	40.10
39213	CY058109	287	236	256	208	14	1001	46.35
39214	CY058109	287	236	256	208	14	1001	46.35
39215	CY058110	453	373	331	263	20	1440	41.25
39216	CY058111	501	318	404	300	21	1544	45.60
39217	CY058112	272	209	200	169	12	862	42.81
39218	CY058112	272	209	200	169	12	862	42.81
39219	CY058113	712	502	533	428	31	2206	43.56
39220	CY058114	820	519	521	443	32	2335	41.28
39221	CY058115	771	498	591	433	32	2325	44.04
39222	CY072606	617	414	384	319	24	1758	39.99
39223	CY072607	290	236	254	207	14	1001	46.05
39224	CY072607	290	236	254	207	14	1001	46.05
39225	CY072608	451	372	333	264	20	1440	41.46
39226	CY072609	506	317	399	301	21	1544	45.34
39227	CY072610	270	208	202	170	12	862	43.16
39228	CY072610	270	208	202	170	12	862	43.16
39229	CY072611	714	504	530	427	31	2206	43.38
39230	CY072612	821	519	520	443	32	2335	41.24
39231	CY072613	772	498	590	433	32	2325	44.00
39232	CY032485	584	417	377	343	24	1745	41.26
39233	CY032486	275	239	262	206	14	996	46.99
39234	CY032486	275	239	262	206	14	996	46.99
39235	CY032487	447	372	338	275	20	1452	42.22
39236	CY032488	501	328	398	292	21	1540	44.81
39237	CY032489	288	208	192	158	12	858	40.79
39238	CY032489	288	208	192	158	12	858	40.79
39239	CY032490	731	526	519	414	31	2221	42.01
39240	CY032491	819	509	523	449	32	2332	41.68
39241	CY032491	819	509	523	449	32	2332	41.68
39242	CY032492	796	524	564	413	32	2329	41.95
39243	CY072646	617	413	384	320	24	1758	40.05
39244	CY072647	287	236	256	208	14	1001	46.35
39245	CY072647	287	236	256	208	14	1001	46.35
39246	CY072648	454	372	330	264	20	1440	41.25
39247	CY072649	500	320	405	298	21	1544	45.53
39248	CY072650	271	209	201	169	12	862	42.92
39249	CY072650	271	209	201	169	12	862	42.92
39250	CY072651	712	503	533	427	31	2206	43.52
39251	CY072652	820	520	521	442	32	2335	41.24
39252	CY072653	772	499	590	432	32	2325	43.96
39253	CY058612	606	415	384	316	24	1745	40.11
39254	CY058613	286	234	253	209	14	996	46.39
39255	CY058613	286	234	253	209	14	996	46.39
39256	CY058614	450	373	332	263	20	1438	41.38
39257	CY058615	503	315	400	298	21	1537	45.41
39258	CY058616	266	208	202	168	12	856	43.22
39259	CY058616	266	208	202	168	12	856	43.22
39260	CY058617	708	503	534	424	30	2199	43.57
39261	CY058618	818	517	521	443	32	2331	41.36
39262	CY058619	773	497	590	432	32	2324	43.98
39263	CY058156	618	415	383	318	24	1758	39.87
39264	CY058157	287	236	256	208	14	1001	46.35
39265	CY058157	287	236	256	208	14	1001	46.35
39266	CY058158	453	373	331	263	20	1440	41.25
39267	CY058159	501	318	404	300	21	1544	45.60
39268	CY058160	271	209	201	169	12	862	42.92
39269	CY058160	271	209	201	169	12	862	42.92
39270	CY058161	712	502	533	428	31	2206	43.56
39271	CY058162	820	518	522	443	32	2335	41.33
39272	CY058163	771	498	591	433	32	2325	44.04
39273	CY072662	615	414	386	319	24	1758	40.10
39274	CY072663	289	235	254	209	14	1001	46.25
39275	CY072663	289	235	254	209	14	1001	46.25
39276	CY072664	453	372	331	264	20	1440	41.32
39277	CY072665	504	317	401	301	21	1544	45.47
39278	CY072666	270	209	202	169	12	862	43.04
39279	CY072666	270	209	202	169	12	862	43.04
39280	CY072667	713	503	532	427	31	2206	43.47
39281	CY072668	822	518	519	444	32	2335	41.24
39282	CY072669	772	498	590	433	32	2325	44.00
39283	CY040202	576	409	376	340	24	1725	41.51
39284	CY040203	278	239	262	206	14	999	46.85
39285	CY040203	278	239	262	206	14	999	46.85
39286	CY040204	432	363	336	270	20	1421	42.65
39287	CY040205	492	324	396	285	21	1518	44.86
39288	CY040206	284	204	191	159	11	849	41.22
39289	CY040206	284	204	191	159	11	849	41.22
39290	CY040207	722	510	512	407	30	2181	42.14
39291	CY040208	810	499	518	447	32	2306	41.85
39292	CY040208	810	499	518	447	32	2306	41.85
39293	CY040209	789	517	562	412	32	2312	42.13
39294	CY032437	586	417	376	344	24	1747	41.21
39295	CY032438	276	240	262	205	14	997	46.84
39296	CY032438	276	240	262	205	14	997	46.84
39297	CY032439	445	372	338	275	20	1450	42.28
39298	CY032440	502	326	402	292	21	1543	44.98
39299	CY032441	289	207	193	159	12	860	40.93
39300	CY032441	289	207	193	159	12	860	40.93
39301	CY032442	731	525	519	414	31	2220	42.03
39302	CY032443	817	507	525	450	32	2331	41.83
39303	CY032443	817	507	525	450	32	2331	41.83
39304	CY032444	792	519	567	418	32	2328	42.31
39305	CY041210	599	423	388	318	24	1752	40.30
39306	CY041211	300	241	254	205	14	1014	45.27
39307	CY041211	300	241	254	205	14	1014	45.27
39308	CY041212	465	376	330	255	20	1446	40.46
39309	CY041213	497	327	399	307	21	1551	45.52
39310	CY041214	267	209	208	163	12	859	43.19
39311	CY041214	267	209	208	163	12	859	43.19
39312	CY041215	748	542	517	399	31	2237	40.95
39313	CY041216	807	552	511	439	32	2341	40.58
39314	CY041216	807	552	511	439	32	2341	40.58
39315	CY041217	807	542	558	408	33	2348	41.14
39316	CY035094	578	413	378	342	24	1735	41.50
39317	CY035095	278	239	263	206	14	1000	46.90
39318	CY035095	278	239	263	206	14	1000	46.90
39319	CY035096	439	369	337	274	21	1440	42.43
39320	CY035097	506	328	400	289	21	1544	44.62
39321	CY035098	288	207	193	160	12	860	41.05
39322	CY035098	288	207	193	160	12	860	41.05
39323	CY035099	731	523	515	413	31	2213	41.93
39324	CY035100	820	509	522	450	32	2333	41.66
39325	CY035100	820	509	522	450	32	2333	41.66
39326	CY035101	798	523	562	412	32	2327	41.86
39327	CY072614	619	415	382	318	24	1758	39.82
39328	CY072615	287	236	256	208	14	1001	46.35
39329	CY072615	287	236	256	208	14	1001	46.35
39330	CY072616	453	371	331	265	20	1440	41.39
39331	CY072617	502	319	403	299	21	1544	45.47
39332	CY072618	271	209	200	170	12	862	42.92
39333	CY072618	271	209	200	170	12	862	42.92
39334	CY072619	713	504	532	426	31	2206	43.43
39335	CY072620	818	519	523	443	32	2335	41.37
39336	CY072621	772	498	589	434	32	2325	44.00
39337	CY074915	591	421	378	341	24	1755	40.97
39338	CY074916	287	243	262	207	14	1013	46.30
39339	CY074916	287	243	262	207	14	1013	46.30
39340	CY074917	450	377	336	274	20	1457	41.87
39341	CY074918	514	331	398	294	21	1558	44.42
39342	CY074919	296	207	195	162	12	872	40.94
39343	CY074919	296	207	195	162	12	872	40.94
39344	CY074920	735	528	517	412	31	2223	41.79
39345	CY074921	822	512	531	452	33	2350	41.83
39346	CY074921	822	512	531	452	33	2350	41.83
39347	CY074922	798	533	568	411	32	2342	41.80
39348	CY072838	617	415	384	318	24	1758	39.93
39349	CY072839	287	236	256	208	14	1001	46.35
39350	CY072839	287	236	256	208	14	1001	46.35
39351	CY072840	453	373	331	263	20	1440	41.25
39352	CY072841	501	318	404	300	21	1544	45.60
39353	CY072842	271	210	201	168	12	862	42.81
39354	CY072842	271	210	201	168	12	862	42.81
39355	CY072843	712	503	532	428	31	2206	43.52
39356	CY072844	819	520	523	440	33	2335	41.24
39357	CY072845	772	498	590	433	32	2325	44.00
39358	CY072910	617	415	384	318	24	1758	39.93
39359	CY072911	287	236	256	208	14	1001	46.35
39360	CY072911	287	236	256	208	14	1001	46.35
39361	CY072912	453	373	331	263	20	1440	41.25
39362	CY072913	501	318	404	300	21	1544	45.60
39363	CY072914	270	209	201	170	12	862	43.04
39364	CY072914	270	209	201	170	12	862	43.04
39365	CY072915	712	503	533	428	31	2207	43.54
39366	CY072916	819	518	523	443	32	2335	41.37
39367	CY072917	771	498	591	433	32	2325	44.04
39368	CY032445	574	410	377	341	24	1726	41.60
39369	CY032446	277	239	262	206	14	998	46.89
39370	CY032446	277	239	262	206	14	998	46.89
39371	CY032447	439	364	335	272	20	1430	42.45
39372	CY032448	504	329	400	291	21	1545	44.72
39373	CY032449	287	206	194	159	12	858	41.14
39374	CY032449	287	206	194	159	12	858	41.14
39375	CY032450	729	526	519	414	31	2219	42.05
39376	CY032451	813	504	521	446	32	2316	41.75
39377	CY032451	813	504	521	446	32	2316	41.75
39378	CY032452	793	521	565	413	32	2324	42.08
39379	CY073885	617	413	384	320	24	1758	40.05
39380	CY073886	287	236	256	208	14	1001	46.35
39381	CY073886	287	236	256	208	14	1001	46.35
39382	CY073887	453	373	331	263	20	1440	41.25
39383	CY073888	500	317	405	301	21	1544	45.73
39384	CY073889	271	209	201	169	12	862	42.92
39385	CY073889	271	209	201	169	12	862	42.92
39386	CY073890	712	502	533	428	31	2206	43.56
39387	CY073891	820	519	519	441	36	2335	41.11
39388	CY073892	772	498	590	433	32	2325	44.00
39389	CY072966	617	415	384	318	24	1758	39.93
39390	CY072967	287	236	256	208	14	1001	46.35
39391	CY072967	287	236	256	208	14	1001	46.35
39392	CY072968	453	373	331	263	20	1440	41.25
39393	CY072969	501	318	404	300	21	1544	45.60
39394	CY072970	270	209	201	170	12	862	43.04
39395	CY072970	270	209	201	170	12	862	43.04
39396	CY072971	712	502	533	428	31	2206	43.56
39397	CY072972	819	518	523	443	32	2335	41.37
39398	CY072973	771	498	591	433	32	2325	44.04
39399	CY032533	583	417	378	345	24	1747	41.39
39400	CY032534	277	239	262	206	14	998	46.89
39401	CY032534	277	239	262	206	14	998	46.89
39402	CY032535	446	370	338	277	20	1451	42.38
39403	CY032536	503	329	401	291	21	1545	44.79
39404	CY032537	288	206	193	159	12	858	41.03
39405	CY032537	288	206	193	159	12	858	41.03
39406	CY032538	732	525	517	415	31	2220	41.98
39407	CY032539	818	509	522	450	32	2331	41.70
39408	CY032539	818	509	522	450	32	2331	41.70
39409	CY032540	796	524	564	413	32	2329	41.95
39410	CY040234	594	425	388	315	24	1746	40.26
39411	CY040235	299	242	255	204	14	1014	45.27
39412	CY040235	299	242	255	204	14	1014	45.27
39413	CY040236	459	373	329	252	20	1433	40.54
39414	CY040237	498	327	398	307	21	1551	45.45
39415	CY040238	261	211	208	159	11	850	43.18
39416	CY040238	261	211	208	159	11	850	43.18
39417	CY040239	740	540	520	400	31	2231	41.24
39418	CY040240	798	548	510	439	32	2327	40.78
39419	CY040240	798	548	510	439	32	2327	40.78
39420	CY040241	801	533	558	410	32	2334	41.47
39421	CY070959	590	420	379	342	24	1755	41.08
39422	CY070960	288	243	261	208	14	1014	46.25
39423	CY070960	288	243	261	208	14	1014	46.25
39424	CY070961	448	378	337	274	20	1457	41.94
39425	CY070962	514	331	398	295	21	1559	44.45
39426	CY070963	297	207	195	164	12	875	41.03
39427	CY070963	297	207	195	164	12	875	41.03
39428	CY070964	737	527	515	413	31	2223	41.75
39429	CY070965	818	510	531	452	33	2344	41.94
39430	CY070965	818	510	531	452	33	2344	41.94
39431	CY070966	799	535	567	409	32	2342	41.67
39432	CY072766	618	414	383	319	24	1758	39.93
39433	CY072767	289	236	254	208	14	1001	46.15
39434	CY072767	289	236	254	208	14	1001	46.15
39435	CY072768	452	372	332	264	20	1440	41.39
39436	CY072769	507	317	400	301	21	1546	45.34
39437	CY072770	270	209	202	169	12	862	43.04
39438	CY072770	270	209	202	169	12	862	43.04
39439	CY072771	713	503	532	427	31	2206	43.47
39440	CY072772	821	519	520	443	32	2335	41.24
39441	CY072773	770	498	592	433	32	2325	44.09
39442	CY032477	583	418	378	344	24	1747	41.33
39443	CY032478	276	239	262	206	14	997	46.94
39444	CY032478	276	239	262	206	14	997	46.94
39445	CY032479	446	374	336	274	20	1450	42.07
39446	CY032480	507	332	400	291	21	1551	44.55
39447	CY032481	288	206	193	159	12	858	41.03
39448	CY032481	288	206	193	159	12	858	41.03
39449	CY032482	733	525	517	415	31	2221	41.96
39450	CY032483	818	509	522	450	32	2331	41.70
39451	CY032483	818	509	522	450	32	2331	41.70
39452	CY032484	796	524	564	413	32	2329	41.95
39453	CY074739	591	421	378	341	24	1755	40.97
39454	CY074740	288	243	261	207	14	1013	46.20
39455	CY074740	288	243	261	207	14	1013	46.20
39456	CY074741	450	377	336	274	20	1457	41.87
39457	CY074742	514	331	398	294	21	1558	44.42
39458	CY074743	296	207	195	161	12	871	40.87
39459	CY074743	296	207	195	161	12	871	40.87
39460	CY074744	736	527	516	413	31	2223	41.79
39461	CY074745	820	511	530	450	33	2344	41.81
39462	CY074745	820	511	530	450	33	2344	41.81
39463	CY074746	798	533	568	411	32	2342	41.80
39464	CY072742	620	414	381	319	24	1758	39.82
39465	CY072743	287	236	256	208	14	1001	46.35
39466	CY072743	287	236	256	208	14	1001	46.35
39467	CY072744	453	371	332	264	20	1440	41.39
39468	CY072745	502	319	403	299	21	1544	45.47
39469	CY072746	271	209	200	170	12	862	42.92
39470	CY072746	271	209	200	170	12	862	42.92
39471	CY072747	713	504	532	426	31	2206	43.43
39472	CY072748	818	519	523	443	32	2335	41.37
39473	CY072749	771	498	590	434	32	2325	44.04
39474	CY073553	616	413	385	320	24	1758	40.10
39475	CY073554	287	236	256	208	14	1001	46.35
39476	CY073554	287	236	256	208	14	1001	46.35
39477	CY073555	452	373	332	263	20	1440	41.32
39478	CY073556	501	318	404	300	21	1544	45.60
39479	CY073557	271	209	200	169	13	862	42.81
39480	CY073557	271	209	200	169	13	862	42.81
39481	CY073558	711	502	533	429	31	2206	43.61
39482	CY073559	821	519	520	443	32	2335	41.24
39483	CY073560	772	498	590	433	32	2325	44.00
39484	CY072870	618	414	383	319	24	1758	39.93
39485	CY072871	287	236	256	208	14	1001	46.35
39486	CY072871	287	236	256	208	14	1001	46.35
39487	CY072872	452	373	332	263	20	1440	41.32
39488	CY072873	502	318	403	300	21	1544	45.53
39489	CY072874	271	209	201	169	12	862	42.92
39490	CY072874	271	209	201	169	12	862	42.92
39491	CY072875	713	500	533	429	31	2206	43.61
39492	CY072876	819	519	522	443	32	2335	41.33
39493	CY072877	772	497	590	434	32	2325	44.04
39494	CY035086	580	414	378	343	24	1739	41.46
39495	CY035087	278	239	262	206	14	999	46.85
39496	CY035087	278	239	262	206	14	999	46.85
39497	CY035088	446	371	339	275	21	1452	42.29
39498	CY035089	500	327	398	288	21	1534	44.72
39499	CY035090	290	207	194	158	12	861	40.88
39500	CY035090	290	207	194	158	12	861	40.88
39501	CY035091	731	526	519	414	31	2221	42.01
39502	CY035092	813	504	521	446	32	2316	41.75
39503	CY035092	813	504	521	446	32	2316	41.75
39504	CY035093	796	523	566	413	32	2330	42.02
39505	CY033145	577	408	375	341	24	1725	41.51
39506	CY033146	275	239	262	206	14	996	46.99
39507	CY033146	275	239	262	206	14	996	46.99
39508	CY033147	438	366	336	273	20	1433	42.50
39509	CY033148	498	329	399	288	21	1535	44.76
39510	CY033149	288	206	193	160	12	859	41.09
39511	CY033149	288	206	193	160	12	859	41.09
39512	CY033150	732	526	518	414	31	2221	41.96
39513	CY033151	817	507	523	451	32	2330	41.80
39514	CY033151	817	507	523	451	32	2330	41.80
39515	CY033152	792	519	564	414	32	2321	42.14
39516	CY040218	575	409	376	341	24	1725	41.57
39517	CY040219	276	240	261	205	14	996	46.79
39518	CY040219	276	240	261	205	14	996	46.79
39519	CY040220	435	363	332	270	21	1421	42.36
39520	CY040221	495	324	393	285	21	1518	44.66
39521	CY040222	283	204	192	159	11	849	41.34
39522	CY040222	283	204	192	159	11	849	41.34
39523	CY040223	724	510	511	406	30	2181	42.04
39524	CY040224	811	499	518	446	32	2306	41.80
39525	CY040224	811	499	518	446	32	2306	41.80
39526	CY040225	790	516	560	414	32	2312	42.13
39527	CY072694	618	413	383	320	24	1758	39.99
39528	CY072695	289	236	254	208	14	1001	46.15
39529	CY072695	289	236	254	208	14	1001	46.15
39530	CY072696	453	372	331	264	20	1440	41.32
39531	CY072697	504	317	402	300	21	1544	45.47
39532	CY072698	271	209	201	169	12	862	42.92
39533	CY072698	271	209	201	169	12	862	42.92
39534	CY072699	711	503	534	427	31	2206	43.56
39535	CY072700	819	519	522	443	32	2335	41.33
39536	CY072701	772	499	590	432	32	2325	43.96
39537	CY073513	618	413	383	320	24	1758	39.99
39538	CY073514	289	236	254	208	14	1001	46.15
39539	CY073514	289	236	254	208	14	1001	46.15
39540	CY073515	453	372	331	264	20	1440	41.32
39541	CY073516	504	317	402	300	21	1544	45.47
39542	CY073517	267	208	201	168	12	856	43.11
39543	CY073517	267	208	201	168	12	856	43.11
39544	CY073518	712	504	533	426	31	2206	43.47
39545	CY073519	819	520	522	442	32	2335	41.28
39546	CY073520	772	497	590	434	32	2325	44.04
39547	CY039471	596	424	386	315	24	1745	40.17
39548	CY039472	296	238	249	204	14	1001	45.25
39549	CY039472	296	238	249	204	14	1001	45.25
39550	CY039473	460	371	331	256	20	1438	40.82
39551	CY039474	494	326	398	306	21	1545	45.57
39552	CY039475	261	210	207	162	11	851	43.36
39553	CY039475	261	210	207	162	11	851	43.36
39554	CY039476	742	539	517	397	31	2226	41.06
39555	CY039477	804	554	511	436	32	2337	40.52
39556	CY039477	804	554	511	436	32	2337	40.52
39557	CY039478	804	533	553	410	32	2332	41.30
39558	CY074931	591	421	378	342	24	1756	41.00
39559	CY074932	288	243	261	207	14	1013	46.20
39560	CY074932	288	243	261	207	14	1013	46.20
39561	CY074933	450	377	336	274	20	1457	41.87
39562	CY074934	514	331	398	294	21	1558	44.42
39563	CY074935	296	206	195	163	12	872	41.06
39564	CY074935	296	206	195	163	12	872	41.06
39565	CY074936	736	527	516	413	31	2223	41.79
39566	CY074937	819	510	531	451	33	2344	41.89
39567	CY074937	819	510	531	451	33	2344	41.89
39568	CY074938	799	533	568	412	33	2345	41.79
39569	CY073545	615	416	385	318	24	1758	39.99
39570	CY073546	286	237	257	207	14	1001	46.35
39571	CY073546	286	237	257	207	14	1001	46.35
39572	CY073547	453	372	331	264	20	1440	41.32
39573	CY073548	502	317	403	301	21	1544	45.60
39574	CY073549	271	208	201	170	12	862	43.04
39575	CY073549	271	208	201	170	12	862	43.04
39576	CY073550	712	503	533	427	31	2206	43.52
39577	CY073551	820	519	521	443	32	2335	41.28
39578	CY073552	773	498	590	432	32	2325	43.96
39579	CY040266	596	425	389	315	24	1749	40.25
39580	CY040267	295	238	252	204	14	1003	45.46
39581	CY040267	295	238	252	204	14	1003	45.46
39582	CY040268	463	373	330	256	20	1442	40.64
39583	CY040269	498	328	398	306	21	1551	45.39
39584	CY040270	264	214	209	159	12	858	42.89
39585	CY040270	264	214	209	159	12	858	42.89
39586	CY040271	733	537	519	395	31	2215	41.26
39587	CY040272	801	548	512	439	32	2332	40.78
39588	CY040272	801	548	512	439	32	2332	40.78
39589	CY040273	800	537	558	408	32	2335	41.37
39590	CY032549	584	420	378	344	24	1750	41.26
39591	CY032550	277	239	262	206	14	998	46.89
39592	CY032550	277	239	262	206	14	998	46.89
39593	CY032551	443	371	340	276	20	1450	42.48
39594	CY032552	507	330	401	292	21	1551	44.68
39595	CY032553	289	206	192	159	12	858	40.91
39596	CY032553	289	206	192	159	12	858	40.91
39597	CY032554	731	526	519	414	31	2221	42.01
39598	CY032555	817	508	523	451	32	2331	41.78
39599	CY032555	817	508	523	451	32	2331	41.78
39600	CY032556	799	528	564	414	32	2337	41.85
39601	CY056387	617	415	384	318	24	1758	39.93
39602	CY056388	287	236	256	208	14	1001	46.35
39603	CY056388	287	236	256	208	14	1001	46.35
39604	CY056389	453	373	331	263	20	1440	41.25
39605	CY056390	501	318	404	300	21	1544	45.60
39606	CY056391	271	209	201	169	12	862	42.92
39607	CY056391	271	209	201	169	12	862	42.92
39608	CY056392	712	503	533	427	31	2206	43.52
39609	CY056393	820	518	522	443	32	2335	41.33
39610	CY056394	772	498	590	433	32	2325	44.00
39611	CY040250	601	422	388	320	24	1755	40.34
39612	CY040251	294	237	250	205	14	1000	45.50
39613	CY040251	294	237	250	205	14	1000	45.50
39614	CY040252	464	376	331	252	20	1443	40.40
39615	CY040253	497	330	400	303	21	1551	45.33
39616	CY040254	264	213	209	160	12	858	43.01
39617	CY040254	264	213	209	160	12	858	43.01
39618	CY040255	730	534	519	393	31	2207	41.32
39619	CY040256	805	549	510	436	32	2332	40.57
39620	CY040256	805	549	510	436	32	2332	40.57
39621	CY040257	804	545	557	405	33	2344	41.04
39622	CY040162	598	425	390	317	25	1755	40.28
39623	CY040163	299	241	253	205	14	1012	45.26
39624	CY040163	299	241	253	205	14	1012	45.26
39625	CY040164	465	376	334	255	20	1450	40.62
39626	CY040165	496	328	399	307	21	1551	45.52
39627	CY040166	262	211	207	161	12	853	43.14
39628	CY040166	262	211	207	161	12	853	43.14
39629	CY040167	737	539	517	396	31	2220	41.13
39630	CY040168	808	554	512	439	33	2346	40.54
39631	CY040168	808	554	512	439	33	2346	40.54
39632	CY040169	807	538	554	410	32	2341	41.18
39633	CY058180	618	414	383	319	24	1758	39.93
39634	CY058181	287	236	256	208	14	1001	46.35
39635	CY058181	287	236	256	208	14	1001	46.35
